Bedroom,Bathroom,Den,Address,Lat,Long,Price,Synthetic
2,1,0,"Synthetic near 2087 Duberry Dr, Pickering, ON L1X 1Y7, Canada",43.855850311790974,-79.08502808797164,"$1,885.79",True
3,2,0,"Synthetic near 14 York St, Toronto, ON M5J 0B1, Canada",43.64111749351914,-79.38182180289377,"$4,975.17",True
1,1,1,"Synthetic near , Mississauga L5B 0G6 ON, Canada",43.589925376743906,-79.64563809698258,"$2,405.34",True
1,1,0,"Synthetic near 126 Simcoe str, Toronto Downtown M5V 1T8 ON",43.64989457696021,-79.38969180650207,"$2,061.94",True
2,1,0,"Synthetic near 33 Gamble Ave, East York, ON M4K 2H5, Canada",43.68765997613899,-79.34979174665332,"$2,195.20",True
2,2,0,"Synthetic near 8081 Birchmount Rd, Markham, ON L6G 1B3, Canada",43.848871766123786,-79.32333552703612,"$2,181.78",True
1,1,0,"Synthetic near , Toronto M4C 5N3 ON, Canada",43.700650519002174,-79.30162003754097,$841.36,True
1,1,0,"Synthetic near 365 Church St, Toronto, ON M5B 1Z9, Canada",43.66238594855644,-79.37593316926821,"$2,030.28",True
1,1,1,"Synthetic near 21 Iceboat Terr, Toronto, ON M5V 4A9, Canada",43.64200688196956,-79.39547906457199,"$1,937.28",True
2,2,0,"Synthetic near 168 Simcoe St, Toronto, ON M5H 4C9, Canada",43.65144958567076,-79.38903757426823,"$3,094.04",True
2,2,0,"Synthetic near 460 Adelaide St E, Toronto, ON M5A 1N4, Canada",43.654935971944866,-79.36595181112807,"$3,591.85",True
1,1,0,"Synthetic near M5S, Canada",43.663418398496724,-79.39847107943541,"$1,008.11",True
2,2,0,"Synthetic near , Toronto m5v3m8 ON, Canada",43.63568980537939,-79.39704285562807,"$2,641.95",True
1,1,0,"Synthetic near Downtown, Toronto M5V1K1 ON, Canada",43.647816695886476,-79.39845107442905,"$1,702.59",True
2,2,0,"Synthetic near 101 Charles St E, Toronto, ON M4Y 0A9, Canada",43.67137086644948,-79.378596331912,"$3,826.49",True
1,1,0,"Synthetic near 87 Peter Street, Toronto, ON, M5V 0P1",43.64908903970314,-79.3928755608122,"$1,983.49",True
2,2,0,"Synthetic near 8 Mercer Street, M5V0C4, Toronto, ON",43.64724870186013,-79.38955243565982,"$2,757.96",True
1,1,0,"Synthetic near Dundas &amp; Shuter, M5B2R3, Toronto, ON",43.65510324922769,-79.37768102401508,"$1,565.40",True
1,1,0,"Synthetic near 1 The Esplanade, Toronto, ON M5E 0A8, Canada",43.64490146538359,-79.376636244735,"$2,439.51",True
2,2,0,"Synthetic near , Toronto m5v3m8 ON, Canada",43.63611349414949,-79.39632376470318,"$2,963.62",True
1,1,0,"Synthetic near Toronto, ON, Canada, m4k3p6",43.67156688628873,-79.34259734578012,"$2,159.69",True
1,1,0,"Synthetic near Toronto, ON M5G1R7, Canada",43.647974818818945,-79.39086524903088,"$1,355.78",True
2,2,0,"Synthetic near 8 Wellesley St E, Toronto, ON M4Y 3B2, Canada",43.6642880936149,-79.38104512925554,"$2,941.43",True
